,Ravenclaw,Slytherin,Gryffindor,Hufflepuff,mean,std
Astronomy,-833.2397867326133,838.4864729247213,-826.1043391399686,-780.7908694722302,39.79713089016475,515.0657196248314
Herbology,-15.294001837830466,16.81826196631806,-8.802365690702405,42.048307448437704,1.1410195296768044,5.16553955657155
Defense Against the Dark Arts,831.0018315794812,-838.6331733120828,829.6587802095064,782.417775818458,-0.3878634974417863,5.162015873475544
Divination,-402.1515961420513,410.0644741170486,-400.451200163962,-373.59899546116435,3.153909673286355,4.104313679917073
Muggle Studies,529.1956592015275,-542.5258845965367,535.6374598690594,488.13814450676426,-224.58991486346417,480.9926662154275
Ancient Runes,186.22742845753297,-189.97831229726697,177.04058076788576,117.01555301413124,495.74797005915786,105.11550760219578
History of Magic,376.03754430075077,-372.30179731177356,385.700177789434,432.8376144445055,2.963094615116594,4.3658605718039025
Transfiguration,396.23595892966136,-385.80827365878525,391.92981124680085,429.94368821434443,1030.0969463871304,43.653472666327566
Potions,551.5437621300799,-545.2315178307288,542.266296752629,534.508705852788,5.95037299278009,3.1181848395352114
Charms,460.9860646839566,-465.1461851981218,464.6420667794666,460.38816357732156,-243.3744090125,8.783639876017117
Flying,-454.3494437702554,447.6131634678278,-457.3152895009501,-496.94932384136246,21.9580125,97.63160206806158
