,Ravenclaw,Slytherin,Gryffindor,Hufflepuff,mean,std
Ancient Runes,0.06347066030282571,-0.03682750933552918,0.04427251167583788,-0.07275886909960849,495.05169613919816,105.21863363246736
Astronomy,-0.061919872926747326,-0.0444371740939447,0.034633690409762,0.06389080168785698,44.20697720085449,515.9904862895847
Charms,0.08501370892132239,-0.029860766349308343,-0.04680694250707427,-0.00721022366346772,-243.3744090125,8.783639876017117
Defense Against the Dark Arts,0.06215634488339608,0.044102782290330184,-0.03455780898512309,-0.06332455192324099,-0.43051713595829477,5.1709329123480945
Divination,0.02632496461569512,-0.0797120605566757,0.015543417323864935,0.030275920568851852,3.189743125,4.110573840621554
Flying,-0.014873063876076145,-0.04033787954883545,0.07605617755754165,-0.028700258722075784,21.9580125,97.63160206806158
Herbology,0.0419709917263142,-0.04838197919134056,-0.05518131091126281,0.05780547321504818,1.1890343765320566,5.176131775295526
History of Magic,0.02356272961988289,0.018863997314495205,-0.07796893219969504,0.04062456413929548,3.001124914941041,4.371857835295093
Muggle Studies,0.09006920215164824,-0.022659767839346468,-0.023505215494650785,-0.04301116706205743,-228.84622940124981,481.8345204498501
Potions,0.01948866375349726,0.04605382300230199,-0.036137133623269216,-0.024377788028133836,5.948956699449707,3.118201682685052
Transfiguration,0.025742261732238068,0.020708153825909795,-0.07948653052249977,0.037141827046630126,1030.4244099475845,43.7100418903771
bias,-0.053883158843089064,-0.07913395264721246,-0.07067315356049962,-0.03884864139590249,,
